cliente,Etapa,Tipo de Negocio,Fecha de cierre,Fecha Fin Contrato,TCV,Propietario de oportunidad: Nombre completo,Quote Number,Tiempo de contrato,QuoteLine,Nombre del producto,Descripción,Tipo Cargo (Venta),MRC,Fabrica,Sector,No. de proyecto
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 142,272.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134191,Protección Perimetral - Implementación,"Implementación del servicio de protección perimetral Cluster de equipos 601E (50 Politicas FW, 4 VPN S2S, 10 VPN C2S, 1 Perfil IPS, 1 Perfil Filtrado de Contenido, 1 Perfil Control de Aplicaciones)",MRC," $ 2,371.20 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 136,551.72 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134190,Servicio estándar - SOC - Monitoreo de disponibilidad (por dispositivo),Servicio de monitoreo de disponibilidad,MRC," $ 2,275.86 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 115,200.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134199,Protección Perimetral - Tecnología,FortiAnalyzer-400E 1 Year 24x7 FortiCare Contract,MRC," $ 1,920.00 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 84,000.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134192,Protección Perimetral - Implementación,"Implementación del servicio de protección perimetral Equipo FW 101F (50 Politicas FW, 4 VPN S2S, 10 VPN C2S, 1 Perfil IPS, 1 Perfil Filtrado de Contenido, 1 Perfil Control de Aplicaciones)",MRC," $ 1,400.00 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 73,931.09 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134186,Protección Perimetral - Tecnología,"AC power supply for FG-300/301E, FG-400/401E, FG-500/501E, FG-600/601E, FG-1100/1101E, FAZ-200F/FAZ-300F/FMG-200F and FAZ-800F/FMG-300F",MRC," $ 1,232.18 ",KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 33,000.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134267,Componente,"Facilities/Suplementos (Cables, charolas, etc.)",MRC, $ 550.00 ,KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 17,679.75 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1164948,Viáticos,"Viáticos para 2 personas a monterrey, con 2 días de hospedaje, transporte (vuelos y local) y alimentos",MRC, $ 294.66 ,KIO CYBERSECURITY,,P-014515
Bulkmatic,Closed won,Up Selling,25-sep-2020,25-sep-2025," $ 4,334.00 ",Miguel Angel Mariel Tanus,Q-29502,60,QL-1134193,Protección Perimetral - Implementación,Implementación del servicio de protección perimetral Forti Analyzer 400E,MRC, $ 72.23 ,KIO CYBERSECURITY,,P-014515
Toka,Closed won,Up Selling,2-mar-2021,2-abr-2021," $ 112,938.46 ",Raúl Enrique Ramírez Parra,Q-32050,1,QL-1166675,Protección Perimetral - Tecnología,Palo Alto Networks PA-820 SKU: PAN-PA-820,NRC," $ 112,938.46 ",KIO CYBERSECURITY,Instituciones Financieras,P-015192
Toka,Closed won,Up Selling,2-mar-2021,2-abr-2021," $ 103,382.13 ",Raúl Enrique Ramírez Parra,Q-32050,1,QL-1166677,Protección Perimetral - Tecnología,"SKU: PAN-SVC-PREM-820-3YR Premium support 3-year prepaid, PA-820",NRC," $ 103,382.13 ",KIO CYBERSECURITY,Instituciones Financieras,P-015192
Toka,Closed won,Up Selling,2-mar-2021,2-abr-2021," $ 64,536.26 ",Raúl Enrique Ramírez Parra,Q-32050,1,QL-1166676,Protección Perimetral - Tecnología,"SKU: PAN-PA-820-TP-3YR-HA2 Threat prevention subscription 3-year prepaid for device in an HA pair, PA-820",NRC," $ 64,536.26 ",KIO CYBERSECURITY,Instituciones Financieras,P-015192
Toka,Closed won,Up Selling,2-mar-2021,2-abr-2021," $ 17,493.35 ",Raúl Enrique Ramírez Parra,Q-32050,1,QL-1166678,Protección Perimetral - Implementación,"Implementación Paquete Network Security 120 Básico (30 Politicas FW, 2 VPN S2S, 5 VPN C2S)",NRC," $ 17,493.37 ",KIO CYBERSECURITY,Instituciones Financieras,P-015192
Toka,Closed won,Up Selling,2-mar-2021,2-abr-2021," $ 8,682.60 ",Raúl Enrique Ramírez Parra,Q-32050,1,QL-1166680,Project Manager KCS (PM),Project Manager KCS para realizar las siguientes actividades: - Gestión PEP - Gestión de plan de trabajo - Reuniones (kick off y sesión técnica con cliente) - Proceso de entrega al SOC,NRC," $ 8,682.61 ",KIO CYBERSECURITY,Instituciones Financieras,P-015192
Toka,Closed won,Up Selling,2-mar-2021,2-abr-2021," $ 8,265.61 ",Raúl Enrique Ramírez Parra,Q-32050,1,QL-1166679,Transition - Insumos para instalación (por dispositivo),"Facilities/Suplementos (Cables, charolas, etc.)",NRC," $ 8,265.61 ",KIO CYBERSECURITY,Instituciones Financieras,P-015192
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 1,912,917.28 ",Damaris Tovar Camacho,Q-32291,12,QL-1169570,Producto - Protección perimetral - Checkpoint - Support for software gateways,CheckPoint - Support for software gateways,NRC," $ 1,912,917.28 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 325,465.98 ",Damaris Tovar Camacho,Q-32291,12,QL-1169572,Producto - Protección perimetral - Checkpoint - Annuity Blades,CheckPoint - Annually Blades,NRC," $ 325,465.98 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 257,652.05 ",Damaris Tovar Camacho,Q-32291,12,QL-1169573,Producto - Protección perimetral - Checkpoint - Annuity Blades,CheckPoint - Annually Blades,NRC," $ 257,652.05 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 212,681.42 ",Damaris Tovar Camacho,Q-32291,12,QL-1169571,Producto - Protección perimetral - Checkpoint - Support for appliance gateways,CheckPoint - Support for appliance gateways,NRC," $ 212,681.42 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 197,441.18 ",Damaris Tovar Camacho,Q-32291,12,QL-1169577,Producto - Protección perimetral - Checkpoint - Support for appliance gateways,CheckPoint - Support for appliance gateways,NRC," $ 197,441.18 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 162,732.99 ",Damaris Tovar Camacho,Q-32291,12,QL-1169574,Producto - Protección perimetral - Checkpoint - Annuity Blades,CheckPoint - Annually Blades,NRC," $ 162,732.99 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 135,627.87 ",Damaris Tovar Camacho,Q-32291,12,QL-1169578,Producto - Protección perimetral - Checkpoint - Annuity Blades,CheckPoint - Annually Blades,NRC," $ 135,627.87 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 130,206.85 ",Damaris Tovar Camacho,Q-32291,12,QL-1169575,Producto - Protección perimetral - Checkpoint - Annuity Blades,CheckPoint - Annually Blades,NRC," $ 130,206.85 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 130,206.85 ",Damaris Tovar Camacho,Q-32291,12,QL-1169579,Producto - Protección perimetral - Checkpoint - Annuity Blades,CheckPoint - Annually Blades,NRC," $ 130,206.85 ",KIO CYBERSECURITY,IT,I-002246
Procesar,Closed won,Renovación,4-mar-2021,4-mar-2022," $ 35,594.65 ",Damaris Tovar Camacho,Q-32291,12,QL-1169576,Producto - Protección perimetral - Checkpoint - Support for software gateways,CheckPoint - Support for software gateways,NRC," $ 35,594.65 ",KIO CYBERSECURITY,IT,I-002246
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 2,900,759.66 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1161506,Firewall Check Point,Renovación Tecnológica 2 Firewalls,NRC," $ 2,900,759.63 ",GENERICOS EXTERNOS,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 427,405.00 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1052943,Add-on (paquete) - Network Security - onPremise FW - SOC - Managed Services (5 tickets),Servicio administrado de protección perimetral (hasta 10 tickets mensuales),MRC," $ 8,904.35 ",KIO CYBERSECURITY,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 199,252.00 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1174583,Protección contra malware - Tecnología,Renovación Licenciamiento,MRC," $ 4,151.10 ",KIO CYBERSECURITY,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 150,711.91 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1174585,Protección contra malware - Servicios administrados,Servicio administrado,MRC," $ 3,139.85 ",KIO CYBERSECURITY,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 93,773.34 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1052942,Protección Perimetral - Implementación,Migración (incluye project manager) de cluster 4800 Checkpoint a cluster 6600 Checkpoint (Incluye migración de 133 políticas y 248 Vpn´s C2S ),MRC," $ 1,953.56 ",KIO CYBERSECURITY,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 56,007.80 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1174584,Protección contra malware - Implementación,Migración de servicio,MRC," $ 1,166.80 ",KIO CYBERSECURITY,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 37,823.45 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1052894,Servicio estándar - SOC - Monitoreo de disponibilidad (por dispositivo),Licenciamiento monitoreo de disponibilidad Solarwinds,MRC, $ 788.04 ,KIO CYBERSECURITY,Manufactura,P-015766
Grupo Zapata,Closed won,Renovación,30-mar-2021,30-mar-2025," $ 20,947.50 ",José Carlos Alberto Dávila Ochoa,Q-28115,48,QL-1052941,Project Manager KCS (PM),Project Manager KCS para realizar las siguientes actividades: - Gestión PEP - Gestión de plan de trabajo - Reuniones (kick off y sesión técnica con cliente) - Proceso de entrega al SOC,MRC, $ 436.49 ,KIO CYBERSECURITY,Manufactura,P-015766
Abilia,Closed won,Up Selling,1-jul-2021,1-jul-2024," $ 2,289,254.40 ",Gina Dossetti Valadez (BAJA),Q-32985,36,QL-1191612,Cyber Security Office - Cyber Security Officer,Oficial de ciberseguridad remoto (Security Account Manager - SAM) tiempo completo. Contratación mínima 12 meses.,MRC," $ 63,590.40 ",KIO CYBERSECURITY,,P-015814
Abilia,Closed won,Up Selling,1-jul-2021,1-jul-2024," $ 586,128.86 ",Gina Dossetti Valadez (BAJA),Q-32985,36,QL-1178486,Threat Hunting Avanzado - Servicios Administrados,Servicio administrado de detección de amenazas (SIEM) 10 Tickets mensuales con soporte básico,MRC," $ 16,281.36 ",KIO CYBERSECURITY,,P-015814
Abilia,Closed won,Up Selling,1-jul-2021,1-jul-2024," $ 571,743.77 ",Gina Dossetti Valadez (BAJA),Q-32985,36,QL-1192470,Threat Hunting Avanzado - Tecnología,TecnologíaSIEM WISSEN ?20Gbpordía ?Integración de hasta50 fuentes ?Soportedurante 36meses,MRC," $ 15,881.77 ",KIO CYBERSECURITY,,P-015814
Abilia,Closed won,Up Selling,1-jul-2021,1-jul-2024," $ 296,613.40 ",Gina Dossetti Valadez (BAJA),Q-32985,36,QL-1178311,Add-on (paquete) - Network Security - onPremise NGFW/UTM - SOC - Managed Services (5 tickets),"Add-On del ""Paquete - Network Security - onPremise NGFW"" o ""Paquete - Network Security - onPremise UTM"" que considera Managed Services (5 tickets) e incluye: - 5 requerimientos mensuales - Monitoreo de seguridad - Notificación de eventos de seguridad críticos - Actualización de módulos de seguridad - Atención remota 24x7x365 - Atención de fallas del servicio - Soporte a incidentes de seguridad - Respaldos automáticos - Reporte de disponibilidad - Reporte de servicio - Reporte de seguridad",MRC," $ 8,239.26 ",KIO CYBERSECURITY,,P-015814
Abilia,Closed won,Up Selling,1-jul-2021,1-jul-2024," $ 31,628.57 ",Gina Dossetti Valadez (BAJA),Q-32985,36,QL-1178310,Servicio estándar - SOC - Monitoreo de disponibilidad (por dispositivo),"Componente estandarizado de SOC - Monitoreo de Disponibilidad (por dispositivo) que incluye: - Licencia para enrolar el dispositivo en la consola - Configuración de 3 alertas automáticas (nodo down, high CPU, high Memory) - Configuración de un reporte estandarizado - Monitoreo de alertas - Notificación de eventos críticos",MRC, $ 878.57 ,KIO CYBERSECURITY,,P-015814
Abilia,Closed won,Up Selling,1-jul-2021,1-jul-2023," $ 1,212.00 ",Haydee Sareen Hernández Negrete,Q-33610,24,QL-1185005,VPN,VPN,MRC, $ 50.50 ,APPLICATIONS MANAGEMENT,,P-015525
Toka,Closed won,Renovación,24-sep-2021,24-sep-2024," $ 2,962,648.29 ",Raúl Enrique Ramírez Parra,Q-36410,36,QL-1217209,Producto - Protección de Endpoint - Falcon Endpoint Protection Pro Bundle,Falcon Endpoint Protection Pro Bundle,MRC," $ 82,295.79 ",KIO CYBERSECURITY,Instituciones Financieras,P-016540
Toka,Closed won,Renovación,24-sep-2021,24-sep-2024," $ 611,465.40 ",Raúl Enrique Ramírez Parra,Q-36410,36,QL-1217327,Servicio estándar - SOC - Platinum 50 - 36 meses,Paquete Platinum con 50 tickets anuales de SOC por 36 meses Managed Technology - Servicio administrado - ABC de configuraciones - Actualizaciones - Maintenance - Backups de configuraciones - Administración avanzada Availability Monitoring - Notificación de nodo abajo - Atención de falla de disponibilidad Security Monitoring - Notificación de actividad sospechosa - Análisis de actividad sospechosa - Actualización de firmas Proactive Hunting - Búsqueda de amenazas - Investigación de incidente de seguridad Solicitud de reportes - Reporte de disponibilidad - Reporte personalizado - Reporte sobre demanda,MRC," $ 611,465.40 ",KIO CYBERSECURITY,Instituciones Financieras,P-016540
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 464,884.62 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616475,Protección contra malware - Tecnología,Threat Response Enterprise,MRC," $ 38,740.38 ",KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,24-sep-2021,24-may-2023," $ 245,152.00 ",Raúl Enrique Ramírez Parra,Q-32539,20,QL-1172568,Producto - Aplicaciones Web - Cloudflare Cloud WAF (WAF/A-DDoS),Plan CloudFare Enterprise 1 Tera Adicional,MRC," $ 12,257.66 ",KIO CYBERSECURITY,Instituciones Financieras,P-015340
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 218,769.23 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616476,Protección contra malware - Tecnología,Threat Response Enerprise,MRC," $ 18,230.77 ",KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 126,871.10 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616473,Protección contra malware - Servicios administrados,Servicio administrado (SOC) para Threat Response Enterprise,MRC," $ 10,572.59 ",KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 59,704.05 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616474,Protección contra malware - Servicios administrados,Servicio administrado (SOC) para Threat Response Enterprise,MRC," $ 4,975.34 ",KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 13,110.69 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616471,Protección contra malware - Implementación,Implementación licenciamiento Crowdstrike,MRC," $ 1,092.56 ",KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 7,059.60 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616477,Project Manager KCS (PM),Project Manager KCS,NRC, $ 588.30 ,KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,24-sep-2021,24-sep-2022," $ 5,425.43 ",Raúl Enrique Ramírez Parra,Q-24959,12,QL-0616472,Protección contra malware - Implementación,Viáticos 2 días,MRC, $ 452.12 ,KIO CYBERSECURITY,Instituciones Financieras,P-013585
Toka,Closed won,Up Selling,20-oct-2021,20-oct-2022," $ 116,209.40 ",Raúl Enrique Ramírez Parra,Q-37461,12,QL-1229580,Producto - Aplicaciones Web - Cloudflare Cloud WAF (WAF/A-DDoS),Cloudflare Enterprise Services (WAF/A-DDoS),MRC," $ 9,684.12 ",KIO CYBERSECURITY,Instituciones Financieras,P-017151
Toka,Closed won,Renovación,29-abr-2022,29-abr-2025," $ 1,265,835.18 ",Raúl Enrique Ramírez Parra,Q-41080,36,QL-1308377,Tabulador - Oficina de Seguridad - Consultor Jr (por hora),Consultor Jr de Seguridad de la información (por hora). En caso de requerir tiempo completo se deben considerar 173 horas por mes. 113 Horas de un consultor JR,MRC," $ 35,162.09 ",KIO CYBERSECURITY,Instituciones Financieras,P-018626
Toka,Closed won,Renovación,29-abr-2022,29-abr-2025," $ 1,034,150.65 ",Raúl Enrique Ramírez Parra,Q-41080,36,QL-1308376,Tabulador - Oficina de Seguridad - Consultor flat (por hora),Consultor de Seguridad de la información flat (por hora). En caso de requerir tiempo completo se deben considerar 173 horas por mes// 61 horas de Consultor Flat,MRC," $ 28,726.41 ",KIO CYBERSECURITY,Instituciones Financieras,P-018626
Toka,Closed won,Renovación,26-jul-2022,26-jul-2025," $ 868,055.74 ",Raúl Enrique Ramírez Parra,Q-46500,36,QL-1348579,Producto - Aplicaciones Web - FlexProtect for Application Security - 20Mbps Base Plan,"App Protect Essentials, 20Mbps Base Plan, 3 Years Enhanced Subscription",MRC," $ 24,112.66 ",KIO CYBERSECURITY,Instituciones Financieras,P-019130
Toka,Closed won,Renovación,26-jul-2022,26-jul-2025," $ 630,252.00 ",Raúl Enrique Ramírez Parra,Q-46500,36,QL-1348580,"Producto - Aplicaciones Web - Imperva - Incapsula Enterprise 20, up to 20Mbps, 1 Website included","Add 20 to 49 applications to App Protect Essentials/ Professional/ Enterprise, 3 Years Enhanced Subscription (per app) ",MRC," $ 17,507.00 ",KIO CYBERSECURITY,Instituciones Financieras,P-019130
Toka,Closed won,Renovación,26-jul-2022,26-jul-2025," $ 371,778.39 ",Raúl Enrique Ramírez Parra,Q-46500,36,QL-1348583,Servicio estándar - SOC - Gold 50 - 36 meses,Paquete Gold con 50 tickets de SOC por 36 meses Paquete estandarizado de SOC - Managed Services Managed Technology - Servicio administrado - ABC de configuraciones - Actualizaciones - Maintenance - Backups de configuraciónes - Administración avanzada Availability Monitoring - Notificación de nodo abajo - Atención de falla de disponibilidad Security Monitoring - Notificación de actividad sospechosa - Análisis de actividad sospechosa - Actualización de firmas Solicitud de reportes - Reporte de disponibilidad - Reporte de la herramienta,MRC," $ 10,327.18 ",KIO CYBERSECURITY,Instituciones Financieras,P-019130
Toka,Closed won,Renovación,26-jul-2022,26-jul-2025," $ 71,948.98 ",Raúl Enrique Ramírez Parra,Q-46500,36,QL-1348581,Tabulador - Transition - Implementador (Por hora),Personal técnico por hora para realizar actividades relacionadas con la implementación de tecnologías de seguridad En caso de requerir tiempo completo se deben considerar 173 horas por mes.,MRC," $ 1,998.58 ",KIO CYBERSECURITY,Instituciones Financieras,P-019130
Toka,Closed won,Renovación,26-jul-2022,26-jul-2025," $ 10,864.49 ",Raúl Enrique Ramírez Parra,Q-46500,36,QL-1348582,Tabulador - Transition - Administrador de Proyectos Jr (por hora),Administrador de Proyectos Jr o PM Jr (por hora) para realizar actividades relacionadas con la gestión de proyectos de implementación de tecnologías de seguridad. En caso de requerir tiempo completo se deben considerar 173 horas por mes.,MRC, $ 301.79 ,KIO CYBERSECURITY,Instituciones Financieras,P-019130
Abilia,Acceptance,Renovación,2-ago-2022,2-ago-2025," $ 1,818.00 ",Juan Antonio De la Fuente Rodriguez,Q-43843,36,QL-1315404,VPN,VPN,MRC, $ 50.50 ,APPLICATIONS MANAGEMENT,,P-019242
Toka,Closed won,Up Selling,7-jun-2023,7-jun-2024," $ 405,859.25 ",Raúl Enrique Ramírez Parra,Q-52500,12,QL-1430292,PP - Diagnóstico - Pruebas de penetración Platinum,Nota: se considero el paquete platinum aun que se ejecute el servicio silver la diferencia se usuara para cubrir un total de 70 objetivos ( acuerdo prevente - operaciones) Servicio estándar - Diagnóstico - Pruebas de penetración Platinum - 15 objetivos que incluye consultoría con las siguientes características: - Número de objetivos: 15 - Una reunión de planeación y kick off (2 horas) - Ejecución de pruebas de penetración (hasta 13.5 días) - Elaboración de un reporte estándar (hasta 9 días) - Una sesión de revisión técnica con el área de TI / Seguridad (4 horas) - Presentación final de resultados (2 horas) - Verifiación de cierre de vulnerabilidades altas.y criticas en el pentest (5 días) Nota1 - Una sesión mensual de asesoría por 3 meses (3 sesiones en total) para explicar dudas de los hallazgosa los equipos de TI del cliente Notas (1) ) Tiempo máximo para ejecutar la verificación de cierre de vulnerabilidades es de hasta 3 meses después de entregados los resultados finales del pent,MRC," $ 33,821.60 ",KIO CYBERSECURITY,Instituciones Financieras,P-021117
Toka,Closed won,Up Selling,7-jun-2023,7-jun-2024," $ 252,657.89 ",Raúl Enrique Ramírez Parra,Q-52500,12,QL-1430290,CO - Tabulador - Diagnóstico - Analista Vulnerability Management (por hora),"Análisis de vunerabilidades - cantidad 172 por bimestre Analista de Vulnerability Management (125 horas por bimestre). AV no incluye seguimiento ni retest, en este unico caso se utilizara acunetix. se consideran 5 horas para documentador - no hay sesion de seguimiento de vulnerabilidad. En caso de requerir tiempo completo se deben considerar 173 horas por mes. #VM #Vulnerabilidades",MRC," $ 21,054.82 ",KIO CYBERSECURITY,Instituciones Financieras,P-021117
Toka,Closed won,Up Selling,7-jun-2023,7-jun-2024," $ 244,210.53 ",Raúl Enrique Ramírez Parra,Q-52500,12,QL-1430294,CO - Servicios profesionales de terceros,"Veracode Análisis Estático. Servicio para el análisis estático de una aplicación, desarrollada en códigos soportada por Veracode. El servicio incluye, correr el escaneo, obtención y presentación del reporte. Los escaneos son cada 6 meses, incluye 2 escaneos por año.",MRC," $ 20,350.88 ",KIO CYBERSECURITY,Instituciones Financieras,P-021117
Toka,Closed won,Up Selling,7-jun-2023,7-jun-2024," $ 97,020.63 ",Raúl Enrique Ramírez Parra,Q-52500,12,QL-1430289,CO - Tabulador - Diagnóstico - Analista Vulnerability Management (por hora),"Análisis de vunerabilidades - cantidad 6 por mes. Analista de Vulnerability Management (24 horas al mes). AV no incluye seguimiento ni retest, en este unico caso se utilizara acunetix - no hay sesion de seguimiento de vulnerabilidad. En caso de requerir tiempo completo se deben considerar 173 horas por mes. #VM #Vulnerabilidades",MRC," $ 8,085.05 ",KIO CYBERSECURITY,Instituciones Financieras,P-021117
Toka,Closed won,Up Selling,7-jun-2023,7-jun-2024," $ 93,517.24 ",Raúl Enrique Ramírez Parra,Q-52500,12,QL-1430295,CO - Servicios profesionales de terceros,"Veracode Análisis Dinámico. Servicio para el análisis dinámico de una aplicación, desarrollada en códigos soportada por Veracode. El servicio incluye, correr el escaneo, obtención y presentación del reporte. Los escaneos son cada 6 meses, incluye 2 escaneos por año.",MRC," $ 7,793.10 ",KIO CYBERSECURITY,Instituciones Financieras,P-021117
